Year,Value
1700,3.5281046919352153
1701,1.4282196120274997
1702,3.2108083038544724
1703,6.355599544260006
1704,6.222014851948497
1705,1.135614183996697
1706,5.5814223618979
1707,3.9550784990553027
1708,4.611099037430038
1709,6.17946495366662
1710,6.1659396652465395
1711,9.282786911412703
1712,8.367546509580864
1713,7.533036307199785
1714,8.592858893248685
1715,8.757518598497972
1716,11.43143740133535
1717,8.352750272906967
1718,9.674405927962013
1719,7.58957338027909
1720,4.404585531283365
1721,10.99306880216703
1722,11.551744905005874
1723,8.436816972331885
1724,14.519776532257929
1725,7.091268650802471
1726,10.071784318885609
1727,9.546779313093106
1728,12.888430936003816
1729,12.624549151086892
1730,9.82046001434537
1731,10.054089898086904
1732,7.272699029399947
1733,4.8014738639908074
1734,7.747454956367856
1735,8.402867881957427
1736,10.165713789213399
1737,9.694445971782985
1738,6.0708174244710085
1739,5.769634396336338
1740,3.7807465927905226
1741,2.5182320754319654
1742,1.4049963597671713
1743,8.159343706114322
1744,2.6619411633435917
1745,2.214021340527193
1746,-0.01869184845138072
1747,3.4287938575212378
1748,-1.9744633594728604
1749,0.20242463486516465
1750,-1.7909331223872729
1751,0.1458998004254366
1752,-2.274942610780774
1753,-4.235077514101948
1754,-2.543263328325905
1755,-2.233506202688581
1756,-3.548211082080417
1757,-3.652849120171167
1758,-6.086180928378986
1759,-6.083750281764179
1760,-7.222773418476599
1761,-7.093346220567861
1762,-8.471763623375809
1763,-10.742251478877506
1764,-7.35028014325035
1765,-8.893731816165982
1766,-11.703675948952165
1767,-7.8375022893870385
1768,-10.86286725342671
1769,-9.19387406729022
1770,-8.05238403859646
1771,-9.427865789771497
1772,-7.54407113820027
1773,-12.390798653852077
1774,-9.175584001927616
1775,-11.369620181880627
1776,-11.721861582646477
1777,-11.078846342673618
1778,-10.44597757154164
1779,-9.573500926826823
1780,-11.840864844518283
1781,-7.49611188497417
1782,-8.116945645199236
1783,-11.83555417299316
1784,-5.466774867428945
1785,-4.298391591688281
1786,-5.347573285438632
1787,-7.6495359458388394
1788,-8.986976302308076
1789,-4.265336443624709
1790,-6.68420641687104
1791,-2.9133778090251514
1792,-4.400986784863446
1793,-2.304514842683286
1794,-2.9685127324980636
1795,-1.6770236073656364
1796,-2.465898830206936
1797,1.6979278419542867
1798,-0.999508150235769
1799,0.17607353159619366
1800,3.766301394112465
1801,-2.067612926991771
1802,-1.2876376613285463
1803,3.8126065621731797
1804,0.14065206142030906
1805,6.977412315048034
1806,2.85400756532729
1807,2.7628832927692453
1808,8.66342079397786
1809,8.31929753265878
1810,9.61297044377775
1811,8.186329214037576
1812,5.123019689177522
1813,11.109816180412146
1814,7.169125685855117
1815,9.69508273534227
1816,10.337783190567592
1817,8.453046614256934
1818,10.2764292653524
1819,11.142178202015513
1820,10.263416225262803
1821,7.487030030117902
1822,10.41934885569899
1823,12.573918806518837
1824,8.591131564819976
1825,9.70073091934466
1826,9.109960180839435
1827,13.619674470103465
1828,11.167462021311758
1829,10.500755283768525
1830,7.9707330140609285
1831,10.376263241466166
1832,7.69960520334551
1833,8.8267279169874
1834,7.171587098262362
1835,9.44303653364251
1836,8.858314060987794
1837,6.873088763058124
1838,7.6374844846102565
1839,4.1881168800259445
1840,2.8953373375134417
1841,6.237051352319051
1842,5.150883731762194
1843,5.527855789435023
1844,8.447535076574718
1845,4.979128917730328
1846,0.6612544207603641
1847,4.107845722049056
1848,-1.3784824853800672
1849,-0.2952640143362425
1850,-0.13648321064925265
1851,2.798780248005577
1852,-2.742841979739835
1853,-3.52669022317522
1854,-2.6838039204992516
1855,-4.417126516473561
1856,-1.4279736826338025
1857,-6.41765593237751
1858,-7.112474045839324
1859,-6.233908039278829
1860,-6.873917424309247
1861,-2.51517578985286
1862,-4.9466294454354305
1863,-7.114583791443719
1864,-10.156003465418236
1865,-6.401443990946322
1866,-10.443709949799246
1867,-11.852608993993842
1868,-6.672210939955529
1869,-8.663879635032773
1870,-7.668847515389916
1871,-9.048376305400256
1872,-8.109211283481503
1873,-11.223198199745072
1874,-12.048752967851641
1875,-8.636810963436746
1876,-11.587086612630408
1877,-11.30024656864518
1878,-10.733937514321568
1879,-9.650873293236216
1880,-10.218552985458519
