Date,AvgTemp
20000101,169.5254015709299
20000102,236.0757465489678
20000103,191.10535042865757
20000104,167.95327319875872
20000105,119.46191973556189
20000106,208.35764522666244
20000107,125.034884505077
20000108,306.7092003128319
20000109,335.4651042004117
20000110,103.37660753031109
20000111,266.6900152330658
20000112,161.55796790116176
20000113,177.21782443757292
20000114,320.2386553170644
20000115,-21.585576720845225
20000116,-15.148280119383717
20000117,-41.91264102386971
20000118,283.0479382191752
20000119,261.26270037994016
20000120,298.0048592987277
20000121,341.4473368931056
20000122,269.66342568668944
20000123,134.59174490117275
20000124,262.2116705145822
20000125,-2.690229652426712
20000126,205.96840853100954
20000127,7.3413149636185615
20000128,327.86756681983354
20000129,158.7393287000287
20000130,115.86477599620943
20000131,55.82224484185079
20000201,259.69347577368666
20000202,132.46013288661942
20000203,177.37357954745937
20000204,-42.48407982545794
20000205,197.05419883035086
20000206,194.83828908896857
20000207,196.77359874990276
20000208,327.4992314058497
20000209,222.72811964139336
20000210,93.8031602295144
20000211,124.81278151973657
20000212,229.05247837090596
20000213,-25.909811348292067
20000214,216.70668617826706
20000215,218.25514784726377
20000216,34.15302442953636
20000217,1.5705190619413223
20000218,76.17134036967354
20000219,95.48430837704905
20000220,178.0787081671519
20000221,125.44060538492815
20000222,345.3495352236905
20000223,-9.182075700788772
20000224,33.55070243793388
20000225,14.523807153998503
20000226,211.24333018615937
20000227,51.31664101591284
20000228,136.52430914252253
20000229,47.7702368006411
20000301,13.587833458207887
20000302,-5.849943534277946
20000303,212.53183578610935
20000304,5.273180539445521
20000305,28.6329446720214
20000306,97.49006826438563
20000307,278.397291939174
20000308,-11.159489682775492
20000309,285.1779629995216
20000310,-11.560636842414773
20000311,340.5837860053583
20000312,137.46048065908064
20000313,340.70443527613486
20000314,191.9382078980184
20000315,245.70543175932067
20000316,-34.32488309827173
20000317,63.12278503056383
20000318,-1.9213755147324374
20000319,68.45607900885797
20000320,-2.508912418302378
20000321,77.19327175759041
20000322,115.705197805868
20000323,-24.341001460486254
20000324,226.98884774800797
20000325,176.64058168263006
20000326,56.155796375778166
20000327,159.29922138667987
20000328,-12.42379569662333
20000329,180.3785982224717
20000330,321.71847903048564
20000331,77.42758098052947
20000401,216.96415198547268
20000402,2.7191449617568697
